dt,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,vwc_1,vwc_2,vwc3,vwc_4
2018/3/16 8:40,18.747,18.604,18.604,18.319,18.414,18.557,0.0583,0.0768,0.0675,0.1823
2018/3/16 8:45,18.913,18.771,18.723,18.247,18.271,18.438,0.0583,0.0768,0.0675,0.1823
2018/3/16 8:50,19.246,19.103,18.961,18.319,18.271,18.39,0.0583,0.0768,0.0675,0.1823
2018/3/16 8:55,19.508,19.318,19.175,18.271,18.176,18.319,0.0583,0.0768,0.0675,0.1823
2018/3/16 9:00,19.817,19.627,19.46,18.343,18.176,18.295,0.0583,0.0768,0.0675,0.1823
2018/3/16 9:05,20.222,20.055,19.793,18.461,18.2,18.247,0.0583,0.0768,0.0675,0.1823
2018/3/16 9:10,20.484,20.246,20.055,18.485,18.152,18.2,0.0583,0.0768,0.0675,0.1823
2018/3/16 9:15,20.817,20.603,20.436,18.652,18.2,18.152,0.0583,0.0768,0.0675,0.1823
2018/3/16 9:20,21.151,20.984,20.817,18.842,18.271,18.152,0.0583,0.0768,0.0675,0.1823
2018/3/16 9:25,21.413,21.223,21.127,19.008,18.295,18.129,0.0583,0.0768,0.0675,0.1823
2018/3/16 9:30,21.557,21.342,21.413,19.175,18.366,18.105,0.0583,0.0768,0.0675,0.1823
2018/3/16 9:35,21.724,21.581,21.724,19.46,18.485,18.105,0.0583,0.0768,0.0675,0.1823
2018/3/16 9:40,21.963,21.843,22.011,19.746,18.675,18.129,0.0583,0.0768,0.0675,0.1823
2018/3/16 9:45,21.915,21.748,22.106,19.865,18.699,18.081,0.0583,0.0768,0.0675,0.1823
2018/3/16 9:50,21.939,21.795,22.274,20.126,18.866,18.176,0.0583,0.0768,0.0675,0.1823
2018/3/16 9:55,21.987,21.867,22.393,20.365,19.08,18.247,0.0583,0.0768,0.0675,0.1823
2018/3/16 10:00,22.13,22.034,22.537,20.627,19.294,18.343,0.0583,0.0768,0.0675,0.1823
2018/3/16 10:05,21.987,21.843,22.489,20.698,19.389,18.39,0.0583,0.0768,0.0675,0.1823
2018/3/16 10:10,21.891,21.748,22.465,20.817,19.579,18.485,0.0583,0.0768,0.0675,0.1823
2018/3/16 10:15,21.963,21.867,22.561,21.056,19.77,18.604,0.0583,0.0768,0.0675,0.1823
2018/3/16 10:20,22.034,21.963,22.633,21.223,19.984,18.747,0.0583,0.0768,0.0675,0.1823
2018/3/16 10:25,21.819,21.676,22.513,21.223,20.007,18.818,0.0583,0.0768,0.0675,0.1823
2018/3/16 10:30,21.676,21.557,22.441,21.27,20.174,18.961,0.0583,0.0768,0.0675,0.1823
2018/3/16 10:35,21.628,21.581,22.441,21.413,20.365,19.127,0.0583,0.0768,0.0675,0.1823
2018/3/16 10:40,21.581,21.557,22.417,21.533,20.507,19.27,0.0583,0.0768,0.0675,0.1823
2018/3/16 10:45,21.246,21.175,22.202,21.413,20.507,19.389,0.0583,0.0768,0.0675,0.1823
2018/3/16 10:50,20.984,20.913,22.011,21.413,20.603,19.532,0.0583,0.0768,0.0675,0.1823
2018/3/16 10:55,20.841,20.841,21.891,21.485,20.698,19.651,0.0583,0.0768,0.0675,0.1823
2018/3/16 11:00,20.77,20.77,21.772,21.509,20.817,19.793,0.0583,0.0768,0.0675,0.1823
2018/3/16 11:05,20.484,20.436,21.485,21.366,20.77,19.865,0.0583,0.0768,0.0675,0.1823
2018/3/16 11:10,20.269,20.246,21.294,21.294,20.817,19.96,0.0583,0.0768,0.0675,0.1823
2018/3/16 11:15,20.126,20.103,21.103,21.223,20.841,20.079,0.0583,0.0768,0.0675,0.1823
2018/3/16 11:20,20.126,20.103,20.984,21.199,20.889,20.174,0.0583,0.0768,0.0675,0.1823
2018/3/16 11:25,20.031,19.96,20.746,21.008,20.793,20.198,0.0583,0.0768,0.0675,0.1823
2018/3/16 11:30,19.984,19.841,20.603,20.841,20.722,20.269,0.0583,0.0768,0.0675,0.1823
2018/3/16 11:35,20.103,19.936,20.531,20.746,20.698,20.317,0.0583,0.0768,0.0675,0.1823
2018/3/16 11:40,20.341,20.198,20.555,20.65,20.698,20.388,0.0583,0.0768,0.0675,0.1823
2018/3/16 11:45,20.46,20.269,20.555,20.436,20.555,20.388,0.0583,0.0768,0.0675,0.1823
2018/3/16 11:50,20.674,20.46,20.698,20.341,20.46,20.388,0.0583,0.0768,0.0675,0.1823
2018/3/16 11:55,21.008,20.793,20.913,20.317,20.412,20.388,0.0583,0.0768,0.0675,0.1823
2018/3/16 12:00,21.39,21.199,21.199,20.341,20.388,20.412,0.0583,0.0768,0.0675,0.1823
2018/3/16 12:05,21.676,21.485,21.485,20.388,20.341,20.388,0.0583,0.0768,0.0675,0.1823
2018/3/16 12:10,21.604,21.413,21.628,20.293,20.174,20.293,0.0583,0.0768,0.0675,0.1823
2018/3/16 12:15,21.628,21.509,21.843,20.365,20.15,20.246,0.0583,0.0768,0.0675,0.1823
2018/3/16 12:20,21.604,21.533,21.987,20.507,20.126,20.222,0.0583,0.0768,0.0675,0.1823
2018/3/16 12:25,21.581,21.557,22.082,20.65,20.174,20.198,0.0583,0.0768,0.0675,0.1823
2018/3/16 12:30,21.437,21.366,22.082,20.722,20.15,20.126,0.0583,0.0768,0.0675,0.1823
2018/3/16 12:35,21.127,21.056,21.963,20.746,20.15,20.055,0.0583,0.0768,0.0675,0.1823
2018/3/16 12:40,20.984,20.96,21.915,20.889,20.198,20.031,0.0583,0.0768,0.0675,0.1823
2018/3/16 12:45,20.889,20.913,21.795,21.008,20.317,20.055,0.0583,0.0768,0.0675,0.1823
2018/3/16 12:50,20.817,20.841,21.7,21.103,20.436,20.055,0.0583,0.0768,0.0675,0.1823
2018/3/16 12:55,20.507,20.46,21.437,20.984,20.388,20.031,0.0583,0.0768,0.0675,0.1823
2018/3/16 13:00,20.293,20.246,21.223,20.936,20.412,20.007,0.0583,0.0768,0.0675,0.1823
2018/3/16 13:05,20.15,20.15,21.079,20.936,20.484,20.055,0.0583,0.0768,0.0675,0.1823
2018/3/16 13:10,20.055,20.055,20.936,20.936,20.507,20.079,0.0583,0.0768,0.0675,0.1823
2018/3/16 13:15,19.912,19.888,20.746,20.817,20.507,20.079,0.0583,0.0768,0.0675,0.1823
2018/3/16 13:20,19.698,19.627,20.531,20.65,20.412,20.079,0.0583,0.0768,0.0675,0.1823
2018/3/16 13:25,19.722,19.651,20.412,20.603,20.412,20.126,0.0583,0.0768,0.0675,0.1823
2018/3/16 13:30,19.817,19.722,20.341,20.531,20.412,20.15,0.0583,0.0768,0.0675,0.1823
2018/3/16 13:35,20.031,19.936,20.317,20.46,20.412,20.174,0.0583,0.0768,0.0675,0.1823
2018/3/16 13:40,20.15,19.96,20.293,20.269,20.293,20.15,0.0583,0.0768,0.0675,0.1823
2018/3/16 13:45,20.293,20.079,20.341,20.126,20.198,20.126,0.0583,0.0768,0.0675,0.1823
2018/3/16 13:50,20.603,20.436,20.555,20.126,20.15,20.126,0.0583,0.0768,0.0675,0.1823
2018/3/16 13:55,20.984,20.793,20.793,20.126,20.15,20.15,0.0583,0.0768,0.0675,0.1823
2018/3/16 14:00,21.366,21.175,21.079,20.174,20.103,20.126,0.0583,0.0768,0.0675,0.1823
2018/3/16 14:05,21.39,21.151,21.223,20.007,19.936,20.007,0.0583,0.0768,0.0675,0.1823
2018/3/16 14:10,21.509,21.318,21.485,20.079,19.912,20.007,0.0583,0.0768,0.0675,0.1823
2018/3/16 14:15,21.652,21.533,21.748,20.198,19.912,19.96,0.0583,0.0768,0.0675,0.1823
2018/3/16 14:20,21.7,21.604,21.963,20.365,19.936,19.936,0.0583,0.0768,0.0675,0.1823
2018/3/16 14:25,21.724,21.676,22.082,20.507,19.984,19.912,0.0583,0.0768,0.0675,0.1823
2018/3/16 14:30,21.652,21.604,22.154,20.65,20.031,19.888,0.0583,0.0768,0.0675,0.1823
2018/3/16 14:35,21.342,21.246,22.034,20.65,19.96,19.817,0.0583,0.0768,0.0675,0.1823
2018/3/16 14:40,21.223,21.199,22.034,20.793,20.055,19.793,0.0583,0.0768,0.0675,0.1823
2018/3/16 14:45,21.103,21.079,21.939,20.936,20.15,19.793,0.0583,0.0768,0.0675,0.1823
2018/3/16 14:50,21.032,21.032,21.867,21.032,20.246,19.793,0.0583,0.0768,0.0675,0.1823
