dt,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,vwc_1,vwc_2,vwc3,vwc_4
2018/4/28 8:15,21.39,21.39,21.39,21.533,21.437,21.318,0.0623,0.0868,0.0768,0.1849
2018/4/28 8:20,21.724,21.652,21.413,21.533,21.413,21.294,0.0623,0.0868,0.0768,0.1849
2018/4/28 8:25,22.321,22.274,21.819,21.533,21.413,21.366,0.0623,0.0868,0.0768,0.1849
2018/4/28 8:30,23.016,23.016,22.513,21.581,21.461,21.318,0.0623,0.0868,0.0768,0.1849
2018/4/28 8:35,23.785,23.809,23.352,21.843,21.604,21.318,0.0623,0.0868,0.0768,0.1849
2018/4/28 8:40,24.532,24.581,24.219,22.321,21.891,21.413,0.0623,0.0868,0.0768,0.1849
2018/4/28 8:45,25.307,25.355,25.089,22.944,22.274,21.437,0.0623,0.0868,0.0768,0.1849
2018/4/28 8:50,26.061,26.109,25.963,23.665,22.776,21.604,0.0623,0.0868,0.0768,0.1849
2018/4/28 8:55,26.793,26.842,26.818,24.412,23.328,21.843,0.0623,0.0868,0.0768,0.1849
2018/4/28 9:00,27.505,27.554,27.653,25.186,24.002,22.298,0.0623,0.0868,0.0768,0.1849
2018/4/28 9:05,28.221,28.245,28.468,25.987,24.677,22.848,0.0623,0.0868,0.0768,0.1849
2018/4/28 9:10,28.891,28.916,29.24,26.769,25.355,23.328,0.0623,0.0868,0.0768,0.1849
2018/4/28 9:15,29.389,29.439,29.991,27.505,26.085,24.002,0.0623,0.0868,0.0768,0.1849
2018/4/28 9:20,29.49,29.515,30.444,28.221,26.769,24.581,0.0623,0.0868,0.0768,0.1849
2018/4/28 9:25,29.29,29.34,30.495,28.891,27.284,25.234,0.0623,0.0868,0.0768,0.1849
2018/4/28 9:30,28.941,28.965,30.243,29.414,27.653,25.89,0.0623,0.0868,0.0768,0.1849
2018/4/28 9:35,28.468,28.468,29.765,29.665,27.875,26.524,0.0623,0.0868,0.0768,0.1849
2018/4/28 9:40,27.974,27.924,29.19,29.64,27.899,26.965,0.0623,0.0868,0.0768,0.1849
2018/4/28 9:45,27.431,27.358,28.593,29.389,27.801,27.308,0.0623,0.0868,0.0768,0.1849
2018/4/28 9:50,26.916,26.842,27.998,29.04,27.579,27.554,0.0623,0.0868,0.0768,0.1849
2018/4/28 9:55,26.5,26.402,27.431,28.593,27.259,27.554,0.0623,0.0868,0.0768,0.1849
2018/4/28 10:00,26.109,26.012,26.94,28.122,26.867,27.358,0.0623,0.0868,0.0768,0.1849
2018/4/28 10:05,25.695,25.598,26.426,27.653,26.475,27.235,0.0623,0.0868,0.0768,0.1849
2018/4/28 10:10,25.307,25.21,25.987,27.186,26.036,26.989,0.0623,0.0868,0.0768,0.1849
2018/4/28 10:15,24.895,24.798,25.501,26.695,25.598,26.646,0.0623,0.0868,0.0768,0.1849
2018/4/28 10:20,24.557,24.436,25.065,26.256,25.186,26.304,0.0623,0.0868,0.0768,0.1849
2018/4/28 10:25,24.243,24.122,24.677,25.768,24.774,25.89,0.0623,0.0868,0.0768,0.1849
2018/4/28 10:30,23.978,23.857,24.315,25.355,24.388,25.453,0.0623,0.0868,0.0768,0.1849
2018/4/28 10:35,23.761,23.641,24.026,24.968,24.146,25.162,0.0623,0.0868,0.0768,0.1849
2018/4/28 10:40,23.881,23.737,23.809,24.629,24.002,24.677,0.0623,0.0868,0.0768,0.1849
2018/4/28 10:45,24.339,24.219,24.026,24.315,24.098,24.388,0.0623,0.0868,0.0768,0.1849
2018/4/28 10:50,24.919,24.823,24.581,24.122,24.291,24.195,0.0623,0.0868,0.0768,0.1849
2018/4/28 10:55,25.55,25.477,25.258,24.146,24.581,24.122,0.0623,0.0868,0.0768,0.1849
2018/4/28 11:00,26.207,26.158,25.987,24.436,25.016,24.243,0.0623,0.0868,0.0768,0.1849
2018/4/28 11:05,26.891,26.867,26.793,24.895,25.501,24.412,0.0623,0.0868,0.0768,0.1849
2018/4/28 11:10,27.554,27.554,27.554,25.477,26.061,24.726,0.0623,0.0868,0.0768,0.1849
2018/4/28 11:15,28.245,28.245,28.32,26.134,26.622,25.016,0.0623,0.0868,0.0768,0.1849
2018/4/28 11:20,28.891,28.916,29.115,26.793,27.21,25.477,0.0623,0.0868,0.0768,0.1849
2018/4/28 11:25,29.54,29.565,29.865,27.505,27.702,25.914,0.0623,0.0868,0.0768,0.1849
2018/4/28 11:30,29.815,29.89,30.545,28.245,28.097,26.5,0.0623,0.0868,0.0768,0.1849
2018/4/28 11:35,29.64,29.715,30.773,28.916,28.369,26.989,0.0623,0.0868,0.0768,0.1849
2018/4/28 11:40,29.29,29.365,30.571,29.515,28.468,27.456,0.0623,0.0868,0.0768,0.1849
2018/4/28 11:45,28.816,28.841,30.117,29.89,28.444,27.801,0.0623,0.0868,0.0768,0.1849
