dt,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,vwc_1,vwc_2,vwc3,vwc_4
2018/4/23 8:35,21.843,21.867,21.437,21.366,21.437,21.318,0.0623,0.0821,0.0764,0.1782
2018/4/23 8:40,22.489,22.537,21.939,21.366,21.413,21.294,0.0623,0.0821,0.0764,0.1782
2018/4/23 8:45,23.208,23.28,22.657,21.461,21.413,21.366,0.0623,0.0821,0.0764,0.1782
2018/4/23 8:50,23.978,24.074,23.472,21.748,21.461,21.318,0.0623,0.0821,0.0764,0.1782
2018/4/23 8:55,24.75,24.847,24.315,22.154,21.604,21.318,0.0623,0.0821,0.0764,0.1782
2018/4/23 9:00,25.525,25.623,25.137,22.705,21.891,21.413,0.0623,0.0821,0.0764,0.1782
2018/4/23 9:05,26.28,26.353,26.036,23.376,22.274,21.437,0.0623,0.0821,0.0764,0.1782
2018/4/23 9:10,27.038,27.087,26.867,24.05,22.776,21.604,0.0623,0.0821,0.0764,0.1782
2018/4/23 9:15,27.751,27.801,27.702,24.774,23.328,21.843,0.0623,0.0821,0.0764,0.1782
2018/4/23 9:20,28.419,28.468,28.518,25.525,24.002,22.298,0.0623,0.0821,0.0764,0.1782
2018/4/23 9:25,28.692,28.742,29.265,26.28,24.677,22.848,0.0623,0.0821,0.0764,0.1782
2018/4/23 9:30,28.518,28.518,29.54,27.014,25.355,23.328,0.0623,0.0821,0.0764,0.1782
2018/4/23 9:35,28.122,28.097,29.389,27.702,26.085,24.002,0.0623,0.0821,0.0764,0.1782
2018/4/23 9:40,27.604,27.53,28.965,28.147,26.769,24.581,0.0623,0.0821,0.0764,0.1782
2018/4/23 9:45,27.014,26.891,28.419,28.345,27.284,25.234,0.0623,0.0821,0.0764,0.1782
2018/4/23 9:50,26.426,26.304,27.801,28.295,27.653,25.89,0.0623,0.0821,0.0764,0.1782
2018/4/23 9:55,25.914,25.768,27.186,28.097,27.875,26.524,0.0623,0.0821,0.0764,0.1782
2018/4/23 10:00,25.428,25.283,26.598,27.776,27.899,26.965,0.0623,0.0821,0.0764,0.1782
2018/4/23 10:05,24.968,24.823,26.036,27.358,27.801,27.308,0.0623,0.0821,0.0764,0.1782
2018/4/23 10:10,24.532,24.388,25.501,26.891,27.579,27.554,0.0623,0.0821,0.0764,0.1782
2018/4/23 10:15,24.122,23.954,24.968,26.402,27.259,27.554,0.0623,0.0821,0.0764,0.1782
2018/4/23 10:20,23.785,23.641,24.532,25.914,26.867,27.358,0.0623,0.0821,0.0764,0.1782
2018/4/23 10:25,23.472,23.328,24.122,25.453,26.475,27.235,0.0623,0.0821,0.0764,0.1782
2018/4/23 10:30,23.184,23.064,23.785,25.016,26.036,26.989,0.0623,0.0821,0.0764,0.1782
2018/4/23 10:35,23.256,23.136,23.448,24.581,25.598,26.646,0.0623,0.0821,0.0764,0.1782
2018/4/23 10:40,23.641,23.569,23.521,24.195,25.186,26.304,0.0623,0.0821,0.0764,0.1782
2018/4/23 10:45,24.146,24.098,23.881,23.881,24.774,25.89,0.0623,0.0821,0.0764,0.1782
2018/4/23 10:50,24.726,24.726,24.436,23.737,24.388,25.453,0.0623,0.0821,0.0764,0.1782
2018/4/23 10:55,25.355,25.38,25.089,23.785,24.146,25.162,0.0623,0.0821,0.0764,0.1782
2018/4/23 11:00,26.036,26.061,25.793,24.026,24.002,24.677,0.0623,0.0821,0.0764,0.1782
2018/4/23 11:05,26.671,26.72,26.524,24.436,24.098,24.388,0.0623,0.0821,0.0764,0.1782
2018/4/23 11:10,27.358,27.382,27.259,24.919,24.291,24.195,0.0623,0.0821,0.0764,0.1782
2018/4/23 11:15,28.023,28.023,27.998,25.477,24.581,24.122,0.0623,0.0821,0.0764,0.1782
2018/4/23 11:20,28.617,28.617,28.742,26.085,25.016,24.243,0.0623,0.0821,0.0764,0.1782
2018/4/23 11:25,28.965,28.965,29.414,26.72,25.501,24.412,0.0623,0.0821,0.0764,0.1782
