dt,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,vwc_1,vwc_2,vwc3,vwc_4
2018/4/19 8:35,22.393,22.202,22.011,21.032,21.032,21.103,0.0595,0.0786,0.0672,0.176
2018/4/19 8:40,22.8,22.609,22.417,21.127,20.984,21.032,0.0595,0.0786,0.0672,0.176
2018/4/19 8:45,23.232,23.064,22.8,21.27,20.984,20.984,0.0595,0.0786,0.0672,0.176
2018/4/19 8:50,23.617,23.424,23.208,21.366,20.936,20.913,0.0595,0.0786,0.0672,0.176
2018/4/19 8:55,24.074,23.881,23.665,21.604,21.056,20.817,0.0595,0.0786,0.0672,0.176
2018/4/19 9:00,24.46,24.267,24.122,21.843,21.127,20.817,0.0595,0.0786,0.0672,0.176
2018/4/19 9:05,24.823,24.653,24.581,22.13,21.27,20.817,0.0595,0.0786,0.0672,0.176
2018/4/19 9:10,24.968,24.847,25.016,22.489,21.461,20.841,0.0595,0.0786,0.0672,0.176
2018/4/19 9:15,24.871,24.75,25.258,22.753,21.628,20.889,0.0595,0.0786,0.0672,0.176
2018/4/19 9:20,24.726,24.653,25.38,23.136,21.891,21.032,0.0595,0.0786,0.0672,0.176
2018/4/19 9:25,24.46,24.363,25.331,23.424,22.13,21.056,0.0595,0.0786,0.0672,0.176
2018/4/19 9:30,24.171,24.074,25.162,23.641,22.393,21.223,0.0595,0.0786,0.0672,0.176
2018/4/19 9:35,23.905,23.833,24.968,23.881,22.681,21.39,0.0595,0.0786,0.0672,0.176
2018/4/19 9:40,23.545,23.448,24.677,23.93,22.848,21.557,0.0595,0.0786,0.0672,0.176
2018/4/19 9:45,23.328,23.232,24.388,23.978,23.088,21.795,0.0595,0.0786,0.0672,0.176
2018/4/19 9:50,23.088,23.016,24.122,23.954,23.208,21.963,0.0595,0.0786,0.0672,0.176
2018/4/19 9:55,22.824,22.729,23.833,23.833,23.28,22.13,0.0595,0.0786,0.0672,0.176
